Worker #7 | 10086/28708 | 2026/03/12/02/20260312_024512_liveData_batch3.parquet | 15.33s | 22.3 MB | SKIPPED (already in target schema)
Worker #8 | 10087/28708 | 2026/03/12/02/20260312_024522_liveData_batch9.parquet | 9.30s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 10088/28708 | 2026/03/12/02/20260312_024515_liveData_batch5.parquet | 19.09s | 22.4 MB | SKIPPED (already in target schema)
Worker #1 | 10089/28708 | 2026/03/12/02/20260312_024518_liveData_batch7.parquet | 17.00s | 22.4 MB | SKIPPED (already in target schema)
Worker #2 | 10090/28708 | 2026/03/12/02/20260312_024520_liveData_batch8.parquet | 15.72s | 22.3 MB | SKIPPED (already in target schema)
Worker #5 | 10091/28708 | 2026/03/12/03/20260312_030011_liveData_batch2.parquet | 14.07s | 22.3 MB | SKIPPED (already in target schema)
Worker #4 | 10092/28708 | 2026/03/12/03/20260312_030012_liveData_batch3.parquet | 14.85s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10093/28708 | 2026/03/12/03/20260312_030009_liveData_batch1.parquet | 16.24s | 22.3 MB | SKIPPED (already in target schema)
Worker #4 | 10094/28708 | 2026/03/12/03/20260312_030024_liveData_batch10.parquet | 0.21s | 129.1 KB | SKIPPED (already in target schema)
Worker #8 | 10095/28708 | 2026/03/12/03/20260312_030016_liveData_batch5.parquet | 10.76s | 22.2 MB | SKIPPED (already in target schema)
Worker #7 | 10096/28708 | 2026/03/12/03/20260312_030014_liveData_batch4.parquet | 19.05s | 22.1 MB | SKIPPED (already in target schema)
Worker #5 | 10097/28708 | 2026/03/12/03/20260312_030023_liveData_batch9.parquet | 9.15s | 22.1 MB | SKIPPED (already in target schema)
Worker #6 | 10098/28708 | 2026/03/12/03/20260312_030018_liveData_batch6.parquet | 16.38s | 22.0 MB | SKIPPED (already in target schema)
Worker #2 | 10099/28708 | 2026/03/12/03/20260312_030022_liveData_batch8.parquet | 15.87s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 10100/28708 | 2026/03/12/03/20260312_030020_liveData_batch7.parquet | 17.01s | 22.1 MB | SKIPPED (already in target schema)
Worker #3 | 10101/28708 | 2026/03/12/03/20260312_031509_liveData_batch1.parquet | 16.17s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10102/28708 | 2026/03/12/03/20260312_031523_liveData_batch10.parquet | 0.26s | 274.4 KB | SKIPPED (already in target schema)
Worker #6 | 10103/28708 | 2026/03/12/03/20260312_031518_liveData_batch6.parquet | 8.69s | 22.2 MB | SKIPPED (already in target schema)
Worker #8 | 10104/28708 | 2026/03/12/03/20260312_031513_liveData_batch3.parquet | 14.74s | 22.3 MB | SKIPPED (already in target schema)
Worker #4 | 10105/28708 | 2026/03/12/03/20260312_031511_liveData_batch2.parquet | 20.15s | 22.3 MB | SKIPPED (already in target schema)
Worker #5 | 10106/28708 | 2026/03/12/03/20260312_031516_liveData_batch5.parquet | 15.16s | 22.3 MB | SKIPPED (already in target schema)
Worker #7 | 10107/28708 | 2026/03/12/03/20260312_031514_liveData_batch4.parquet | 19.85s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10108/28708 | 2026/03/12/03/20260312_031523_liveData_batch9.parquet | 11.46s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 10109/28708 | 2026/03/12/03/20260312_031521_liveData_batch8.parquet | 15.65s | 22.2 MB | SKIPPED (already in target schema)
Worker #6 | 10110/28708 | 2026/03/12/03/20260312_033010_liveData_batch1.parquet | 11.77s | 22.2 MB | SKIPPED (already in target schema)
Worker #2 | 10111/28708 | 2026/03/12/03/20260312_031519_liveData_batch7.parquet | 17.67s | 22.3 MB | SKIPPED (already in target schema)
Worker #4 | 10112/28708 | 2026/03/12/03/20260312_033014_liveData_batch3.parquet | 11.38s | 22.2 MB | SKIPPED (already in target schema)
Worker #4 | 10113/28708 | 2026/03/12/03/20260312_033025_liveData_batch10.parquet | 0.20s | 183.1 KB | SKIPPED (already in target schema)
Worker #8 | 10114/28708 | 2026/03/12/03/20260312_033012_liveData_batch2.parquet | 16.90s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10115/28708 | 2026/03/12/03/20260312_033024_liveData_batch9.parquet | 10.32s | 22.2 MB | SKIPPED (already in target schema)
Worker #5 | 10116/28708 | 2026/03/12/03/20260312_033016_liveData_batch4.parquet | 18.12s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10117/28708 | 2026/03/12/03/20260312_033019_liveData_batch6.parquet | 13.97s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 10118/28708 | 2026/03/12/03/20260312_033021_liveData_batch7.parquet | 15.46s | 22.2 MB | SKIPPED (already in target schema)
Worker #7 | 10119/28708 | 2026/03/12/03/20260312_033018_liveData_batch5.parquet | 19.07s | 22.3 MB | SKIPPED (already in target schema)
Worker #4 | 10120/28708 | 2026/03/12/03/20260312_034501_liveData_batch1.parquet | 13.47s | 22.2 MB | SKIPPED (already in target schema)
Worker #6 | 10121/28708 | 2026/03/12/03/20260312_033023_liveData_batch8.parquet | 20.09s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10122/28708 | 2026/03/12/03/20260312_034509_liveData_batch5.parquet | 9.64s | 22.1 MB | SKIPPED (already in target schema)
Worker #5 | 10123/28708 | 2026/03/12/03/20260312_034507_liveData_batch4.parquet | 11.01s | 22.1 MB | SKIPPED (already in target schema)
Worker #8 | 10124/28708 | 2026/03/12/03/20260312_034503_liveData_batch2.parquet | 19.91s | 22.2 MB | SKIPPED (already in target schema)
Worker #7 | 10125/28708 | 2026/03/12/03/20260312_034512_liveData_batch7.parquet | 13.18s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10126/28708 | 2026/03/12/03/20260312_034505_liveData_batch3.parquet | 17.66s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10127/28708 | 2026/03/12/04/20260312_040002_liveData_batch1.parquet | 8.54s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 10128/28708 | 2026/03/12/03/20260312_034510_liveData_batch6.parquet | 16.98s | 22.2 MB | SKIPPED (already in target schema)
