Connecting to container 'datacloudlivedataiceberg', prefix '2026/04/06'...
Schema loaded: 9 column(s), 956 file(s), 4.5 GB total.
[Checkpoint] Skipping prefix '2026/04/06' — previous run was complete.
All prefixes in batch completed.
Starting — 2 transform(s), 8 worker(s) (Auto-Scale ON), 5 attempt(s)/file...
Listing complete: 956 file(s) found.
Worker #1 | 058/956 | 2026/04/06/01/20260406_011530_liveData_batch10.parquet | 0.34s | 1.8 MB | SKIPPED (already in target schema)
Worker #7 | 059/956 | 2026/04/06/01/20260406_011527_liveData_batch8.parquet | 1.20s | 4.8 MB | SKIPPED (already in target schema)
Worker #6 | 060/956 | 2026/04/06/01/20260406_011526_liveData_batch7.parquet | 1.44s | 4.8 MB | SKIPPED (already in target schema)
Worker #8 | 061/956 | 2026/04/06/01/20260406_013020_liveData_batch4.parquet | 0.82s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 062/956 | 2026/04/06/01/20260406_013017_liveData_batch2.parquet | 1.00s | 4.9 MB | SKIPPED (already in target schema)
Worker #5 | 063/956 | 2026/04/06/01/20260406_013015_liveData_batch1.parquet | 1.22s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 064/956 | 2026/04/06/01/20260406_013019_liveData_batch3.parquet | 1.16s | 4.8 MB | SKIPPED (already in target schema)
Worker #1 | 065/956 | 2026/04/06/01/20260406_013024_liveData_batch6.parquet | 1.07s | 4.8 MB | SKIPPED (already in target schema)
Worker #4 | 066/956 | 2026/04/06/01/20260406_013029_liveData_batch10.parquet | 0.41s | 1.8 MB | SKIPPED (already in target schema)
Worker #8 | 067/956 | 2026/04/06/01/20260406_013028_liveData_batch9.parquet | 0.78s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 068/956 | 2026/04/06/01/20260406_013025_liveData_batch7.parquet | 1.43s | 4.9 MB | SKIPPED (already in target schema)
Worker #3 | 069/956 | 2026/04/06/01/20260406_013022_liveData_batch5.parquet | 1.58s | 4.8 MB | SKIPPED (already in target schema)
Worker #6 | 070/956 | 2026/04/06/01/20260406_013027_liveData_batch8.parquet | 1.56s | 4.8 MB | SKIPPED (already in target schema)
Worker #4 | 071/956 | 2026/04/06/01/20260406_014507_liveData_batch4.parquet | 1.10s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 072/956 | 2026/04/06/01/20260406_014505_liveData_batch3.parquet | 1.28s | 4.8 MB | SKIPPED (already in target schema)
Worker #2 | 073/956 | 2026/04/06/01/20260406_014503_liveData_batch2.parquet | 1.37s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 074/956 | 2026/04/06/01/20260406_014509_liveData_batch5.parquet | 0.86s | 4.9 MB | SKIPPED (already in target schema)
Worker #5 | 075/956 | 2026/04/06/01/20260406_014501_liveData_batch1.parquet | 1.43s | 4.8 MB | SKIPPED (already in target schema)
