Connecting to container 'datacloudlivedataiceberg', prefix '2026/03'...
Schema loaded: 9 column(s), 28708 file(s), 627.4 GB total.
Starting — 2 transform(s), 8 worker(s), 5 attempt(s)/file...
Listing complete: 28708 file(s) found.
Worker #2 | 00089/28708 | 2026/03/01/02/20260301_020029_liveData_batch7.parquet | 18.71s | 22.3 MB | SKIPPED (already in target schema)
Worker #8 | 00090/28708 | 2026/03/01/02/20260301_020034_liveData_batch9.parquet | 13.99s | 22.2 MB | SKIPPED (already in target schema)
Worker #6 | 00091/28708 | 2026/03/01/02/20260301_021513_liveData_batch1.parquet | 12.91s | 22.5 MB | SKIPPED (already in target schema)
Worker #1 | 00092/28708 | 2026/03/01/02/20260301_021516_liveData_batch2.parquet | 13.53s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 00093/28708 | 2026/03/01/02/20260301_021534_liveData_batch10.parquet | 3.26s | 6.5 MB | SKIPPED (already in target schema)
Worker #3 | 00094/28708 | 2026/03/01/02/20260301_021523_liveData_batch5.parquet | 12.31s | 22.4 MB | SKIPPED (already in target schema)
Worker #5 | 00095/28708 | 2026/03/01/02/20260301_021518_liveData_batch3.parquet | 17.30s | 22.4 MB | SKIPPED (already in target schema)
Worker #4 | 00096/28708 | 2026/03/01/02/20260301_021521_liveData_batch4.parquet | 19.91s | 22.5 MB | SKIPPED (already in target schema)
Worker #7 | 00097/28708 | 2026/03/01/02/20260301_021527_liveData_batch6.parquet | 16.69s | 22.3 MB | SKIPPED (already in target schema)
Worker #8 | 00098/28708 | 2026/03/01/02/20260301_021532_liveData_batch8.parquet | 13.26s | 22.4 MB | SKIPPED (already in target schema)
Worker #1 | 00099/28708 | 2026/03/01/02/20260301_021534_liveData_batch9.parquet | 13.37s | 22.3 MB | SKIPPED (already in target schema)
Worker #2 | 00100/28708 | 2026/03/01/02/20260301_021530_liveData_batch7.parquet | 17.98s | 22.4 MB | SKIPPED (already in target schema)
Worker #3 | 00101/28708 | 2026/03/01/02/20260301_023017_liveData_batch2.parquet | 12.36s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 00102/28708 | 2026/03/01/02/20260301_023014_liveData_batch1.parquet | 14.61s | 22.4 MB | SKIPPED (already in target schema)
Worker #5 | 00103/28708 | 2026/03/01/02/20260301_023019_liveData_batch3.parquet | 12.66s | 22.3 MB | SKIPPED (already in target schema)
Worker #3 | 00104/28708 | 2026/03/01/02/20260301_023036_liveData_batch10.parquet | 3.95s | 6.3 MB | SKIPPED (already in target schema)
Worker #8 | 00105/28708 | 2026/03/01/02/20260301_023029_liveData_batch6.parquet | 11.35s | 22.2 MB | SKIPPED (already in target schema)
Worker #5 | 00106/28708 | 2026/03/01/02/20260301_024515_liveData_batch1.parquet | 10.20s | 22.2 MB | SKIPPED (already in target schema)
Worker #4 | 00107/28708 | 2026/03/01/02/20260301_023021_liveData_batch4.parquet | 18.64s | 22.3 MB | SKIPPED (already in target schema)
Worker #7 | 00108/28708 | 2026/03/01/02/20260301_023027_liveData_batch5.parquet | 17.35s | 22.4 MB | SKIPPED (already in target schema)
Worker #1 | 00109/28708 | 2026/03/01/02/20260301_023032_liveData_batch7.parquet | 15.24s | 22.3 MB | SKIPPED (already in target schema)
Worker #2 | 00110/28708 | 2026/03/01/02/20260301_023034_liveData_batch8.parquet | 15.73s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 00111/28708 | 2026/03/01/02/20260301_023036_liveData_batch9.parquet | 17.08s | 22.4 MB | SKIPPED (already in target schema)
Worker #5 | 00112/28708 | 2026/03/01/02/20260301_024522_liveData_batch4.parquet | 8.59s | 22.2 MB | SKIPPED (already in target schema)
Worker #5 | 00113/28708 | 2026/03/01/02/20260301_024531_liveData_batch10.parquet | 2.93s | 6.0 MB | SKIPPED (already in target schema)
Worker #8 | 00114/28708 | 2026/03/01/02/20260301_024519_liveData_batch3.parquet | 15.49s | 22.3 MB | SKIPPED (already in target schema)
Worker #7 | 00115/28708 | 2026/03/01/02/20260301_024525_liveData_batch6.parquet | 10.42s | 22.3 MB | SKIPPED (already in target schema)
Worker #3 | 00116/28708 | 2026/03/01/02/20260301_024517_liveData_batch2.parquet | 23.81s | 22.4 MB | SKIPPED (already in target schema)
Worker #2 | 00117/28708 | 2026/03/01/02/20260301_024529_liveData_batch8.parquet | 15.79s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 00118/28708 | 2026/03/01/02/20260301_024527_liveData_batch7.parquet | 18.62s | 22.2 MB | SKIPPED (already in target schema)
Worker #8 | 00119/28708 | 2026/03/01/03/20260301_030005_liveData_batch2.parquet | 9.06s | 22.1 MB | SKIPPED (already in target schema)
Worker #4 | 00120/28708 | 2026/03/01/02/20260301_024524_liveData_batch5.parquet | 19.68s | 22.2 MB | SKIPPED (already in target schema)
Worker #7 | 00121/28708 | 2026/03/01/03/20260301_030007_liveData_batch3.parquet | 10.44s | 22.2 MB | SKIPPED (already in target schema)
Worker #5 | 00122/28708 | 2026/03/01/03/20260301_030003_liveData_batch1.parquet | 11.91s | 22.2 MB | SKIPPED (already in target schema)
Worker #7 | 00123/28708 | 2026/03/01/03/20260301_030023_liveData_batch10.parquet | 1.48s | 2.5 MB | SKIPPED (already in target schema)
Worker #6 | 00124/28708 | 2026/03/01/02/20260301_024530_liveData_batch9.parquet | 18.97s | 22.4 MB | SKIPPED (already in target schema)
Worker #3 | 00125/28708 | 2026/03/01/03/20260301_030010_liveData_batch4.parquet | 14.59s | 22.1 MB | SKIPPED (already in target schema)
Worker #8 | 00126/28708 | 2026/03/01/03/20260301_030018_liveData_batch7.parquet | 11.76s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 00127/28708 | 2026/03/01/03/20260301_030014_liveData_batch5.parquet | 14.42s | 22.1 MB | SKIPPED (already in target schema)
Worker #1 | 00128/28708 | 2026/03/01/03/20260301_030016_liveData_batch6.parquet | 13.61s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 00129/28708 | 2026/03/01/03/20260301_031508_liveData_batch3.parquet | 8.50s | 22.0 MB | SKIPPED (already in target schema)
Worker #7 | 00130/28708 | 2026/03/01/03/20260301_031504_liveData_batch1.parquet | 16.05s | 22.0 MB | SKIPPED (already in target schema)
Worker #4 | 00131/28708 | 2026/03/01/03/20260301_030020_liveData_batch8.parquet | 21.62s | 22.0 MB | SKIPPED (already in target schema)
Worker #5 | 00132/28708 | 2026/03/01/03/20260301_030023_liveData_batch9.parquet | 20.67s | 22.0 MB | SKIPPED (already in target schema)
Worker #2 | 00133/28708 | 2026/03/01/03/20260301_031515_liveData_batch5.parquet | 11.94s | 22.1 MB | SKIPPED (already in target schema)
Worker #1 | 00134/28708 | 2026/03/01/03/20260301_031517_liveData_batch6.parquet | 12.16s | 22.0 MB | SKIPPED (already in target schema)
Worker #8 | 00135/28708 | 2026/03/01/03/20260301_031510_liveData_batch4.parquet | 13.99s | 22.0 MB | SKIPPED (already in target schema)
Worker #3 | 00136/28708 | 2026/03/01/03/20260301_031519_liveData_batch7.parquet | 8.65s | 22.0 MB | SKIPPED (already in target schema)
Worker #4 | 00137/28708 | 2026/03/01/03/20260301_031523_liveData_batch10.parquet | 5.32s | 5.9 MB | SKIPPED (already in target schema)
Worker #6 | 00138/28708 | 2026/03/01/03/20260301_031506_liveData_batch2.parquet | 24.40s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 00139/28708 | 2026/03/01/03/20260301_031521_liveData_batch8.parquet | 15.48s | 22.0 MB | SKIPPED (already in target schema)
Worker #1 | 00140/28708 | 2026/03/01/03/20260301_033007_liveData_batch2.parquet | 12.04s | 22.2 MB | SKIPPED (already in target schema)
Worker #2 | 00141/28708 | 2026/03/01/03/20260301_033005_liveData_batch1.parquet | 13.37s | 21.9 MB | SKIPPED (already in target schema)
Worker #3 | 00142/28708 | 2026/03/01/03/20260301_033012_liveData_batch4.parquet | 11.84s | 22.0 MB | SKIPPED (already in target schema)
Worker #5 | 00143/28708 | 2026/03/01/03/20260301_031523_liveData_batch9.parquet | 17.65s | 22.1 MB | SKIPPED (already in target schema)
Worker #8 | 00144/28708 | 2026/03/01/03/20260301_033009_liveData_batch3.parquet | 15.92s | 22.0 MB | SKIPPED (already in target schema)
Worker #3 | 00145/28708 | 2026/03/01/03/20260301_033024_liveData_batch10.parquet | 3.99s | 5.9 MB | SKIPPED (already in target schema)
Worker #4 | 00146/28708 | 2026/03/01/03/20260301_033015_liveData_batch5.parquet | 16.87s | 22.0 MB | SKIPPED (already in target schema)
Worker #6 | 00147/28708 | 2026/03/01/03/20260301_033017_liveData_batch6.parquet | 16.67s | 22.0 MB | SKIPPED (already in target schema)
Worker #1 | 00148/28708 | 2026/03/01/03/20260301_033021_liveData_batch8.parquet | 12.35s | 22.0 MB | SKIPPED (already in target schema)
Worker #2 | 00149/28708 | 2026/03/01/03/20260301_033023_liveData_batch9.parquet | 15.14s | 22.1 MB | SKIPPED (already in target schema)
Worker #3 | 00150/28708 | 2026/03/01/03/20260301_034512_liveData_batch3.parquet | 11.77s | 22.0 MB | SKIPPED (already in target schema)
Worker #7 | 00151/28708 | 2026/03/01/03/20260301_033019_liveData_batch7.parquet | 20.45s | 21.9 MB | SKIPPED (already in target schema)
Worker #8 | 00152/28708 | 2026/03/01/03/20260301_034510_liveData_batch2.parquet | 14.31s | 22.0 MB | SKIPPED (already in target schema)
Worker #5 | 00153/28708 | 2026/03/01/03/20260301_034507_liveData_batch1.parquet | 15.32s | 22.0 MB | SKIPPED (already in target schema)
Worker #6 | 00154/28708 | 2026/03/01/03/20260301_034516_liveData_batch5.parquet | 11.62s | 21.9 MB | SKIPPED (already in target schema)
Worker #8 | 00155/28708 | 2026/03/01/03/20260301_034526_liveData_batch10.parquet | 4.50s | 5.9 MB | SKIPPED (already in target schema)
Worker #4 | 00156/28708 | 2026/03/01/03/20260301_034514_liveData_batch4.parquet | 17.36s | 22.0 MB | SKIPPED (already in target schema)
Worker #7 | 00157/28708 | 2026/03/01/03/20260301_034525_liveData_batch9.parquet | 9.44s | 22.1 MB | SKIPPED (already in target schema)
Worker #1 | 00158/28708 | 2026/03/01/03/20260301_034519_liveData_batch6.parquet | 17.04s | 22.1 MB | SKIPPED (already in target schema)
Worker #3 | 00159/28708 | 2026/03/01/03/20260301_034523_liveData_batch8.parquet | 12.66s | 22.0 MB | SKIPPED (already in target schema)
Worker #5 | 00160/28708 | 2026/03/01/04/20260301_040007_liveData_batch1.parquet | 14.42s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 00161/28708 | 2026/03/01/04/20260301_040017_liveData_batch5.parquet | 7.61s | 22.2 MB | SKIPPED (already in target schema)
Worker #6 | 00162/28708 | 2026/03/01/04/20260301_040010_liveData_batch2.parquet | 16.33s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 00163/28708 | 2026/03/01/04/20260301_040019_liveData_batch6.parquet | 9.50s | 22.2 MB | SKIPPED (already in target schema)
Worker #2 | 00164/28708 | 2026/03/01/03/20260301_034521_liveData_batch7.parquet | 23.88s | 22.0 MB | SKIPPED (already in target schema)
Worker #6 | 00165/28708 | 2026/03/01/04/20260301_040026_liveData_batch10.parquet | 4.53s | 5.9 MB | SKIPPED (already in target schema)
Worker #8 | 00166/28708 | 2026/03/01/04/20260301_040012_liveData_batch3.parquet | 18.87s | 22.3 MB | SKIPPED (already in target schema)
Worker #3 | 00167/28708 | 2026/03/01/04/20260301_040021_liveData_batch7.parquet | 13.58s | 22.1 MB | SKIPPED (already in target schema)
Worker #4 | 00168/28708 | 2026/03/01/04/20260301_040014_liveData_batch4.parquet | 22.02s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 00169/28708 | 2026/03/01/04/20260301_040025_liveData_batch9.parquet | 12.36s | 22.2 MB | SKIPPED (already in target schema)
Worker #5 | 00170/28708 | 2026/03/01/04/20260301_040023_liveData_batch8.parquet | 15.26s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 00171/28708 | 2026/03/01/04/20260301_041511_liveData_batch2.parquet | 13.76s | 22.1 MB | SKIPPED (already in target schema)
Worker #1 | 00172/28708 | 2026/03/01/04/20260301_041509_liveData_batch1.parquet | 14.09s | 22.2 MB | SKIPPED (already in target schema)
Worker #8 | 00173/28708 | 2026/03/01/04/20260301_041516_liveData_batch4.parquet | 11.77s | 22.1 MB | SKIPPED (already in target schema)
Worker #3 | 00174/28708 | 2026/03/01/04/20260301_041518_liveData_batch5.parquet | 14.34s | 22.0 MB | SKIPPED (already in target schema)
Worker #1 | 00175/28708 | 2026/03/01/04/20260301_041527_liveData_batch10.parquet | 4.76s | 5.4 MB | SKIPPED (already in target schema)
Worker #6 | 00176/28708 | 2026/03/01/04/20260301_041514_liveData_batch3.parquet | 18.63s | 22.2 MB | SKIPPED (already in target schema)
Worker #7 | 00177/28708 | 2026/03/01/04/20260301_041522_liveData_batch7.parquet | 14.99s | 22.1 MB | SKIPPED (already in target schema)
Worker #4 | 00178/28708 | 2026/03/01/04/20260301_041520_liveData_batch6.parquet | 16.72s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 00179/28708 | 2026/03/01/04/20260301_041526_liveData_batch9.parquet | 10.93s | 22.0 MB | SKIPPED (already in target schema)
Worker #8 | 00180/28708 | 2026/03/01/04/20260301_043010_liveData_batch1.parquet | 10.57s | 22.2 MB | SKIPPED (already in target schema)
